Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price Each,Link,Total Used in Project override,Extras to buy,Optional
"3.75"" Channel",1,ServoCity,S3,585443,$4.49 ,https://www.servocity.com/3-75-channel,,,
Wheel,2,DollarHobbyz,S30,,$25.27 ,https://www.dollarhobbyz.com/collections/all/products/traxxas-2-talon-tires-gemini-black-chrome-wheels-5374x,,,
3D Printed Encoder Mounts,1,Makexyz,S31,,$12.90 ,https://www.makexyz.com/,,,
RC Turnbuckles,2,Amazon,S32,06048B,$9.25 ,https://www.amazon.com/Hobbypark-Aluminum-Turnbuckle-BRONTOSAURUS-Replacement/dp/B01H5PZKMK,,,
3D Printed Head,1,Makexyz,S33,,$75.80 ,https://www.makexyz.com/,,,
Loctite Red,1,Amazon,S34,,$6.49 ,https://www.amazon.com/Loctite-Threadlocker-Red-0-20-209741/dp/B000FP8EUS,,,
"9"" x 12"" Aluminum Plate",1,ServoCity,S35,585006,$16.99 ,https://www.servocity.com/9-x-12-aluminum-pattern-plate,,,
Loctite 2 Part Apoxy,1,Amazon,S36,,$5.42 ,https://www.amazon.com/Loctite-Marine-0-85-Fluid-Syringe-1405604/dp/B00KH62K50,,,
"4.5"" x 12"" Aluminum Plate",1,ServoCity,S37,585004,$13.99 ,https://www.servocity.com/4-5-x-12-pattern-plate,,,
"0.25"" to 6mm Clamping Shaft Coupler",1,ServoCity,S38,625100,$7.99 ,https://www.servocity.com/heavy-duty-clamping-shaft-couplers,,,
Laser Cut Body Front Panel,1,Sculpteo,S39,,$7.93 ,https://www.sculpteo.com/en/lasercutting/,,,
Laser Cut Body Back Panel,1,Sculpteo,S40,,$8.42 ,https://www.sculpteo.com/en/lasercutting/,,,
3D printed Battery Holder,1,Makexyz,S41,,$12.50 ,https://www.makexyz.com/,,,
Laser Cut Head Back Panel,1,Sculpteo,S42,,$7.63 ,https://www.sculpteo.com/en/lasercutting/,,,
3D printed Head,1,Makexyz,S43,,$29.80 ,https://www.makexyz.com/,,,
Laser Cut Arduino Plate,1,Sculpteo,S44,,$7.76 ,https://www.sculpteo.com/en/lasercutting/,,,
"4.5"" Channel",1,ServoCity,S4,585444,$4.99 ,https://www.servocity.com/4-50-channel,,,
"9"" Channel",1,ServoCity,S5,585450,$7.99 ,https://www.servocity.com/9-0-channel,,,
Channel Connectors,2,ServoCity,S6,545532,$3.99 ,https://www.servocity.com/channel-connector-plate-a,,,
Pattern F Bracket,1,ServoCity,S7,585592,$2.89 ,https://www.servocity.com/flat-bracket-f,,,
Single Pattern Bracket,1,ServoCity,S8,585468,$1.49 ,https://www.servocity.com/flat-single-channel-bracket,,,
Motor Mount,1,ServoCity,S9,,$4.99 ,https://www.servocity.com/hd-premium-planetary-gear-motor-mount-face-tapped,,,
#6 Washer,100,McMaster,W1,92141A008,$1.17 ,https://www.mcmaster.com/92141A008,,,
#4 Washer,100,McMaster,W2,92141A005,$1.40 ,https://www.mcmaster.com/92141A005,,,
"0.5"" Washers",5,McMaster,W3,91545A280,$2.59 ,https://www.mcmaster.com/91545A280,,,
USB Xbox receiver,1,Amazon,,,$12.99 ,https://www.amazon.com/Generic-Wireless-Gaming-Receiver-Xbox/dp/B01JC68MHU,,,
Xbox Controller,1,Amazon,,,$25.99 ,https://www.amazon.com/FiveStar-Wireless-Controller-Microsoft-White/dp/B01LY6P5U4,,,
#6 x 1/4 Spacer,1,McMaster,T1,92510A442,$0.23 ,https://www.mcmaster.com/92510A442,,,
"#6-32 x 0.75"" Standoff",4,ServoCity,T3,633126,$1.89 ,https://www.servocity.com/6-32-thread-1-4-od-round-aluminum-standoffs#371=256,,,
"#6-32 x 1.25"" Standoff",4,ServoCity,T9,633134,$3.39 ,https://www.servocity.com/6-32-thread-1-4-od-round-aluminum-standoffs,,,
#4-40 x 1/4 Threaded Standoff,1,McMaster,T4,91780A162,$0.23 ,https://www.mcmaster.com/91780A162,,,
#4-40 x 1/2 Threaded Standoff,1,McMaster,T5,91780A164,$0.27 ,https://www.mcmaster.com/91780A164,,,
#4-40 x 3/4 Threaded Standoff,1,McMaster,T6,91780A166,$0.37 ,https://www.mcmaster.com/91780A164,,,
M2.5 x 12mm Standoff,1,McMaster,T7,95947A007,$0.64 ,https://www.mcmaster.com/95947A007,,,
"#2-56 x 3/8"" Threaded Standoff",1,McMaster,T8,93330A252,$1.00 ,https://www.mcmaster.com/93330A252,,,
M2.5 x 10 mm Standoff,1,McMaster,T10,95947A005,$0.59 ,https://www.mcmaster.com/95947a005,,,
"#2-56 x 1/2"" Standoff",1,McMaster,T11,91780A032,$0.41 ,https://www.mcmaster.com/91780a032,,,
#4-40 Heat Set Inserts,100,McMaster,I1,93365A120,$10.82 ,https://www.mcmaster.com/93365a120,,,
#6-32 Heat Set Inserts,100,McMaster,I2,93365A130,$12.92 ,https://www.mcmaster.com/93365a130,,,
