Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price,Link,Total Used in Project,Quanity to Buy,Used in Sections
0.5” Face Tapped Clamping Hub,1,ServoCity,S13,545600, $5.99 ,,4,4,"Body Assembly, Differential Pivot, Rocker-Bogie"
4mm Face Tapped Clamp Hub,1,ServoCity,S14,545608, $5.99 ,,4,4,Wheel Assembly
Stainless Steel D-Shaft,1,ServoCity,S15,634066, $1.49 ,,4,4,Corner Steering
Dual Side mount A,2,ServoCity,S17,585470, $5.99 ,,8,4,Body Assembly
0.5 x 4 inch aluminum tube,1,ServoCity,S18,635254, $2.09 ,,6,6,Differential Pivot
0.5 x 2 inch aluminum tube,1,ServoCity,S19,635252, $1.49 ,,2,2,"Body Assembly, Mechanical Integration"
3 Inch Channel,1,ServoCity,S2,585442, $3.99 ,,18,18,"Corner Steering, Rocker-Bogie, Wheel Assembly"
.5”D Bore Bottom Tapped Clamping Mount,1,ServoCity,S20,585546, $5.99 ,,4,4,"Body Assembly, Differential Pivot"
5 Hole Aluminum Beam,2,ServoCity,S21,585404, $2.39 ,,16,8,Differential Pivot
4mm to .25 Clamping Shaft Coupler,1,ServoCity,S23,625049, $4.99 ,,4,4,Corner Steering
"Bore Clamping Hub for 1"" PVC",1,ServoCity,S24,545512, $9.99 ,,2,2,"Body Assembly, Head Assembly"
25mm Bore Side Tapped Clamping Mount,1,ServoCity,S25,545680, $5.99 ,,6,6,Wheel Assembly
Plain Bore Gear,1,ServoCity,S26,RHA32-36-48, $3.69 ,,4,4,Wheel Assembly
Shaft Mount Pinion Gear,1,ServoCity,S27,615362, $7.99 ,,4,4,Corner Steering
3.75 Inch Channel,1,ServoCity,S3,585443, $4.49 ,,4,4,Rocker-Bogie
9 x 12 Inch Aluminum Plate,1,ServoCity,S35,585006, $16.99 ,,1,1,Body Assembly
4.5 x 12 Inch Aluminum Plate,1,ServoCity,S37,585004, $13.99 ,,2,2,Body Assembly
4.5 Inch Channel,1,ServoCity,S4,585444, $4.99 ,,4,4,Wheel Assembly
9 Inch Channel,1,ServoCity,S5,585450, $7.99 ,,2,2,Rocker-Bogie
Channel Connectors,2,ServoCity,S6,545532, $3.99 ,,30,15,"Mechanical Integration, Wheel Assembly"
Pattern F Bracket,1,ServoCity,S7,585592, $2.79 ,,8,8,Rocker-Bogie
Single Pattern Bracket,1,ServoCity,S8,585468, $1.29 ,,2,2,"Body Assembly, Differential Pivot"
Motor Mount F,1,ServoCity,S9,555104, $3.99 ,,4,4,Corner Steering
#6-32 x 0.75 Standoff,4,ServoCity,T3,633126, $1.79 ,,20,5,"Corner Steering, Wheel Assembly"
3 pin Micro Connectors,1,US Digital,E10,CA-MIC3-W3-NC-1, $6.80 ,,1,1,
Absolute Encoder,1,US Digital,E7,"1/8 inch, 10 Bit Analog, Sleeve Bushing (N)", $55.50 ,,4,4,Corner Steering
Black Wire 30AWG,1,Digikey,,C2003B-50-ND, $6.32 ,,1,1,
Red Wire 30AWG,1,Digikey,,C2015R-50-ND, $6.14 ,,1,1,
White Wire 30AWG,1,Digikey,,1528-1737-ND, $4.95 ,,1,1,
Blue Wire 30AWG,1,Digikey,,1528-1734-ND, $4.95 ,,1,1,
Yello Wire 30AWG,1,Digikey,,1528-1735-ND, $4.95 ,,1,1,
Green Wire 30AWG,1,Digikey,,1528-1736-ND, $4.95 ,,1,1,
Op Amp LM 358P,1,Digikey,,296-1395-5-ND, $0.37 ,,1,1,
4.7k Ohm Resistor,1,Digikey,,CF14JT4K70CT-ND, $0.04 ,,1,1,
USB Xbox receiver,1,Amazon,,, $12.99 ,,1,1,
Xbox Controller,1,Amazon,,, $25.99 ,,1,1,
Heat Shrink Tubing,1,Amazon,,532 pc, $7.99 ,,1,1,
Black Wire 16AWG,1,Digikey,,C76512B-50-ND, $15.59 ,,1,1,
Black Wire 20AWG,1,Digikey,,CN538B-50-ND, $12.56 ,,1,1,
Red Wire 16AWG,1,Digikey,,C76512R-50-ND, $15.59 ,,1,1,
Red Wire 20AWG,1,Digikey,,CN541R-50-ND, $15.59 ,,1,1,
Jumper Wire Pack,1,Adafruit,,6inch, $3.95 ,,1,1,
0.1 Pitch Pin Header (40 pins),1,Digikey,,S1011EC-40-ND, $0.59 ,,1,1,
4 Pin Header,1,Digikey,,S9014E-04-ND, $0.35 ,,1,1,
Encoder Board,1,Osh Park,E20,, $20.20 ,,1,1,
LED Board,1,Osh Park,E21,, $19.65 ,,1,1,
"4 and 8 "" Female/Female Jumper Wires",1,Amazon,,, $5.99 ,,1,1,
#2-56 x 3/16 Button head Screws,25,McMaster,B13,91255A077, $3.78 ,,4,1,Body Assembly
#2-56 x 3/8 Threaded Standoff,1,McMaster,T8,93330A252, $0.96 ,,2,2,Body Assembly
Custom Acrylic Back plate,1,Sculpteo,S37B,, $11.75 ,,1,1,
Custom Acrylic Electronics Board,1,Sculpteo,S28,, $15.25 ,,1,1,
